Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
500180,HDFCBANK,A,1714.90,1757.80,1701.75,1719.55,964459,16768.12,33453
500325,RELIANCE,A,2553.20,2622.00,2553.20,2615.20,517214,13417.42,35468
532667,SUZLON,A,15.70,16.86,15.70,16.86,75398151,12517.38,35990
532368,BCG,A,32.48,33.07,30.17,31.92,23401809,7532.62,31643
543237,MAZDOCK,A,1280.00,1341.00,1273.00,1288.85,481405,6334.92,19301
533519,L&TFH,A,129.30,140.20,128.20,137.30,3950898,5357.32,24423
500034,BAJFINANCE,A,7155.45,7356.30,7155.45,7335.35,63894,4653.63,8780
532939,RPOWER,A,14.19,15.25,14.10,15.09,29750357,4385.35,16836
532134,BANKBARODA,A,191.30,199.75,189.95,199.10,2163877,4228.97,16548
539437,IDFCFIRSTB,A,80.07,82.10,79.89,81.94,5160975,4191.91,17729
500010,HDFC,A,2844.00,2926.00,2841.30,2871.20,134162,3872.99,21102
500875,ITC,A,446.05,466.00,446.05,462.95,823126,3763.46,20411
500470,TATASTEEL,A,112.05,114.25,112.05,113.05,3273509,3710.13,23701
532461,PNB,A,52.00,53.96,52.00,53.84,6634204,3520.44,13684
543720,KFINTECH,B,372.05,385.00,358.55,365.15,927844,3441.74,4325
500570,TATAMOTORS,A,600.00,602.50,590.00,590.90,498272,2967.61,12221
543320,ZOMATO,A,75.41,77.20,74.61,75.68,3872311,2946.70,14048
532174,ICICIBANK,A,935.90,945.80,935.70,942.00,310693,2929.45,15499
532648,YESBANK,A,16.28,16.54,16.28,16.36,17450001,2862.91,15099
532218,SOUTHBANK,A,19.50,20.68,19.50,20.48,13963640,2801.95,9399
512599,ADANIENT,A,2400.00,2417.00,2372.90,2384.05,114244,2734.44,6752
500112,SBIN,A,574.00,586.20,574.00,585.40,462230,2689.84,9311
500696,HINDUNILVR,A,2680.00,2705.00,2659.15,2698.85,94230,2522.33,8618
590024,FACT,B,435.00,478.30,426.95,470.40,540057,2466.43,11382
505537,ZEEL,A,177.05,184.95,176.40,180.75,1276280,2313.60,10994
532149,BANKINDIA,A,74.01,77.54,74.00,77.28,2886735,2186.16,8495
500185,HCC,A,20.24,21.20,20.16,21.04,10328047,2140.95,6077
540691,ABCAPITAL,A,196.55,199.40,194.05,194.80,1087832,2132.45,3874
539254,ADANITRANS,A,783.15,784.40,770.10,772.95,274743,2132.22,12186
532500,MARUTI,A,9773.95,9780.00,9654.45,9672.55,21743,2107.65,3454
500209,INFY,A,1333.90,1346.05,1328.60,1333.20,141383,1889.19,7840
500520,M&M,A,1465.05,1498.55,1458.85,1468.35,126528,1865.42,6603
532483,CANBK,A,302.35,320.90,302.35,318.40,575016,1805.94,6476
500285,SPICEJET,A,27.54,31.80,27.50,30.64,5984018,1798.85,11067
500113,SAIL,A,85.62,88.20,85.60,87.49,2036785,1775.22,9262
532822,IDEA,A,7.46,7.66,7.45,7.53,23358385,1763.23,7234
532810,PFC,A,217.35,223.25,215.50,219.70,783348,1728.08,8394
532652,KTKBANK,A,190.05,196.80,189.65,192.15,871465,1678.51,8201
532187,INDUSINDBK,A,1375.30,1386.30,1367.45,1379.65,119919,1651.46,10592
534309,NBCC,A,39.80,40.15,39.18,39.31,4117599,1632.66,5223
500247,KOTAKBANK,A,1855.00,1858.65,1838.00,1843.75,88244,1630.87,8092
512455,LLOYDSME,A,395.20,418.00,395.20,416.70,393935,1620.20,3591
535789,IBULHSGFIN,A,124.50,127.90,122.80,126.90,1292074,1619.98,6571
532627,JPPOWER,A,6.15,6.39,6.15,6.35,25609509,1610.42,7525
533148,JSWENERGY,A,274.05,291.25,274.05,289.00,562440,1607.52,10026
541729,HDFCAMC,A,2301.05,2310.00,2255.25,2285.10,69472,1584.79,6818
532921,ADANIPORTS,A,745.95,747.55,732.85,736.80,214061,1580.78,5976
532477,UNIONBANK,A,72.31,75.00,72.31,74.90,2106016,1553.57,8266
543396,PAYTM,A,868.10,880.00,845.50,848.65,176190,1506.06,10062
532540,TCS,A,3306.70,3318.65,3267.00,3271.40,45336,1490.57,4671
540065,RBLBANK,A,183.00,186.95,182.75,184.25,793985,1466.20,5883
500103,BHEL,A,87.71,89.10,87.08,88.29,1623244,1432.74,7218
526371,NMDC,A,105.70,107.70,105.70,107.45,1329249,1423.35,7141
540376,DMART,A,3889.80,3947.00,3843.00,3865.35,36571,1419.27,7468
532605,JBMA,A,1347.95,1418.70,1312.50,1388.45,103426,1408.54,5905
540073,BLS,A,210.70,220.60,210.05,211.80,651791,1400.36,15559
533096,ADANIPOWER,A,251.00,251.85,248.00,248.40,558388,1393.33,12610
539336,GUJGAS,A,487.00,492.25,472.55,474.30,285653,1378.84,5843
541153,BANDHANBNK,A,245.55,245.60,235.00,235.45,575635,1372.39,11177
500295,VEDL,A,279.05,280.40,277.75,278.15,489280,1364.71,13282
533122,RTNPOWER,A,4.93,5.36,4.93,5.36,25949514,1353.07,9466
532525,MAHABANK,A,29.01,30.38,29.01,29.97,4546133,1352.76,6850
532977,BAJAJ-AUTO,A,4685.60,4685.65,4589.00,4610.70,28695,1326.82,4082
543232,CAMS,A,2226.00,2329.30,2226.00,2292.75,57005,1307.26,8653
500049,BEL,A,126.10,126.15,122.70,123.70,1031023,1280.99,10680
540133,ICICIPRULI,A,565.55,580.00,565.55,577.95,220971,1276.51,1841
532454,BHARTIARTL,A,878.25,884.00,874.55,879.05,145114,1275.07,5778
500510,LT,A,2477.00,2492.50,2448.00,2452.00,51230,1260.75,4526
500228,JSWSTEEL,A,786.10,808.00,786.10,794.25,157119,1255.21,4574
530965,IOC,A,91.36,96.05,91.31,95.38,1320473,1249.58,6955
500104,HINDPETRO,A,275.05,293.40,272.70,283.60,432590,1242.60,5223
532523,BIOCON,A,266.50,270.15,262.40,263.40,461871,1227.89,7284
500477,ASHOKLEY,A,169.00,173.85,166.65,167.20,698132,1187.64,7123
505200,EICHERMOT,A,3584.35,3664.90,3584.30,3629.05,30802,1118.78,3982
532659,IDFC,A,104.85,110.85,103.90,109.10,1029859,1112.37,5359
531213,MANAPPURAM,A,132.55,133.30,128.30,128.80,849906,1110.24,7159
540005,LTIM,A,5225.00,5233.45,5135.75,5210.30,21325,1104.49,3891
532505,UCOBANK,A,27.88,28.74,27.38,28.10,3771014,1060.30,5293
532531,STAR,A,443.05,474.75,443.05,467.95,225687,1051.28,7472
533206,SJVN,A,41.17,43.35,40.61,42.39,2487001,1047.62,5641
530007,JKTYRE,A,236.75,239.90,227.75,235.30,447358,1036.69,7864
533179,PERSISTENT,A,5035.00,5048.95,4800.00,4849.80,21005,1029.70,2833
500302,PEL,A,945.05,958.35,942.05,955.95,106402,1012.23,4592
543712,AHL,B,320.35,323.80,255.25,273.05,378416,997.92,6748
532215,AXISBANK,A,988.05,989.15,978.00,982.10,100256,985.66,5847
543458,AWL,A,413.20,414.25,400.50,406.30,240326,981.59,8315
531120,PATELENG,T,34.70,35.50,32.12,35.46,2855895,972.35,5857
543923,IKIO,B,437.45,444.95,421.00,425.45,224021,963.20,7710
538891,MCLOUD,B,227.10,234.90,226.70,234.40,410312,944.31,2836
542830,IRCTC,A,635.25,639.65,632.00,633.00,143534,912.37,8957
503806,SRF,A,2293.05,2304.70,2265.70,2274.25,40059,912.05,5893
512379,CRESSAN,B,27.40,28.70,27.35,27.76,3252625,909.55,1820
505700,ELECON,A,587.05,637.30,587.05,625.10,147109,908.70,7512
543526,LICI,A,635.00,638.00,627.60,628.70,142195,898.27,8393
543257,IRFC,A,32.77,32.99,32.70,32.80,2675591,878.71,3404
540124,GNA,B,829.80,891.40,825.00,864.70,99272,857.70,6690
500770,TATACHEM,A,1002.05,1016.00,1000.55,1008.05,84667,853.62,5844
541154,HAL,A,3803.05,3812.60,3763.00,3770.45,22014,832.78,2207
590103,NIFTYBEES,B,211.67,212.59,210.77,212.29,387220,820.34,4649
500086,EXIDEIND,A,237.10,240.75,237.10,239.85,337593,808.24,9643
500008,AMARAJABAT,A,685.00,694.95,685.00,688.25,117170,808.04,8310
500110,CHENNPETRO,A,390.00,410.30,389.00,401.15,199584,806.29,4948
